phrase_id,label,phrase,tokstem,class
17710,0.38889,these bromides,  bromid,1
40013,0.68056,while Russell and Dreyfus are a romantic pairing of hearts  preciously exposed as history corners them ,  russel dreyfu romant pair heart precious expos histori corner,3
23130,0.31944,s gone too commercial since his two Oscar nominated films in ,  gone commerci sinc two oscar nomin film,1
24840,0.5,Birot,  birot,2
114150,0.45833,an unblinking  flawed humanity,  unblink flaw human,2
142256,0.26389, it s all bad ,  bad,1
174748,0.5,the shooting,  shoot,2
183975,0.5,For all the complications,  complic,2
114454,0.5,anyone and works,  anyon work,2
37995,0.61111,the antidote,  antidot,3
228661,0.72222,and suspenseful Argentinian thriller,  suspens argentinian thriller,3
170757,0.29167,set himself a task he is not nearly up to,  set task nearli,1
68572,0.875,Salma goes native and she s never been better in this colorful biopic of a Mexican icon,  salma goe nativ never better color biopic mexican icon,4
109112,0.69444,Spare but quietly effective retelling ,  spare quietli effect retel,3
179833,0.40278,s lousy,  lousi,2
28787,0.56944,and sexuality,  sexual,2
145226,0.29167,Excessive ,  excess,1
10986,0.5,teen life,  teen life,2
114571,0.51389,are concerned ,  concern,2
72788,0.44443999999999995,a war zone,  war zone,2
214369,0.44443999999999995,the cracked lunacy of The Adventures of Buckaroo Banzai  but,  crack lunaci adventur buckaroo banzai,2
23058,0.8229200000000001,s a lovely film with lovely performances by Buy and Accorsi ,  love film love perform buy accorsi,4
11905,0.16667,the story s pathetic and the gags are puerile ,  stori pathet gag pueril,0
7944,0.20833000000000002,it has its moments of swaggering camaraderie  but more often just feels generic  derivative and done to death ,  moment swagger camaraderi often feel gener deriv done death,1
159588,0.5,formula film,  formula film,2
22912,0.5,you could nt say,  could nt say,2
102731,0.5, music and life,  music life,2
105789,0.5,Feels at times,  feel time,2
136556,0.61111,the way Chekhov is funny,  way chekhov funni,3
80002,0.5,finishes,  finish,2
25401,0.5,George Pal s lowtech  version,  georg pal lowtech version,2
97280,0.5,they make their choices,  make choic,2
80274,0.5,for history,  histori,2
109095,0.5,Sonnenfeld,  sonnenfeld,2
28373,0.375,an incurious  uncharismatic  overgrown frat boy with a mean streak a mile wide,  incuri uncharismat overgrown frat boy mean streak mile wide,1
11753,0.055555999999999994,the pool drowned me in boredom,  pool drown boredom,0
61317,0.68056,s the mark of a documentary that works,  mark documentari work,3
38704,0.41667,the tension,  tension,2
120380,0.5,for about three minutes,  three minut,2
230797,0.65278,filled with surprises  Read My Lips,  fill surpris read lip,3
202994,0.16667,is in bad need of major acting lessons and maybe a little coffee ,  bad need major act lesson mayb littl coffe,0
169800,0.23611,recent Dumas botchjobs,  recent duma botchjob,1
235678,0.44443999999999995,shorter is better ,  shorter better,2
205199,0.5,little cartoon,  littl cartoon,2
67698,0.8472200000000001,Much of All About Lily ChouChou is mesmerizing,  much lili chouchou mesmer,4
63444,0.58333,A summer entertainment adults can see without feeling embarrassed  but it could have been more,  summer entertain adult see without feel embarrass could,2
12158,0.65278,this is nt exactly profound cinema  but it s goodnatured and sometimes quite funny,  nt exactli profound cinema goodnatur sometim quit funni,3
64245,0.47222,Barris  motivations,  barri motiv,2
229607,0.23611,ca nt accuse Kung Pow for misfiring  since it is exactly what it wants to be  an atrociously  mindnumbingly  indescribably bad movie,  ca nt accus kung pow misfir sinc exactli want atroci mindnumbingli indescrib bad movi,1
148987,0.5,TV veteran Joe Zwick,  TV veteran joe zwick,2
59058,0.51389,those reputedly ,  reputedli,2
72010,0.66667,a more mythic level,  mythic level,3
84534,0.75,is particularly impressive ,  particularli impress,3
130680,0.55556,produce this,  produc,2
141384,0.41667,s just filler,  filler,2
211684,0.5,sit and stare and,  sit stare,2
235008,0.55556,portrayed with almost supernatural powers to humble  teach and ultimately redeem their mentally  superior  friends  family,  portray almost supernatur power humbl teach ultim redeem mental superior friend famili,2
80647,0.36111,from squirming in their seats,  squirm seat,1
116317,0.63889,but completely,  complet,3
3208,0.55556,works,  work,2
142719,0.31944, when are bears bears and when are they like humans  only hairier  would tax Einstein s brain ,  bear bear like human hairier would tax einstein brain,1
130439,0.65278,por momentos,  por momento,3
238309,0.59722,varies between a sweet smile and an angry bark  while Said attempts to wear down possible pupils through repetition,  vari sweet smile angri bark said attempt wear possibl pupil repetit,2
194764,0.5,bode well,  bode well,2
88611,0.79167,of gritty realism  crisp storytelling and radiant compassion that effortlessly draws you in,  gritti realism crisp storytel radiant compass effortlessli draw,3
54289,0.5,little boys,  littl boy,2
104528,0.44443999999999995,As wellacted and wellintentioned as All or Nothing is  however  the film comes perilously close to being too bleak  too pessimistic and too unflinching for its own good ,  wellact wellintent noth howev film come peril close bleak pessimist unflinch good,2
47423,0.29167,Though it s not very well shot or composed or edited  the score is too insistent and the dialogue is frequently overwrought and crudely literal  the film shatters you in waves ,  though well shot compos edit score insist dialogu frequent overwrought crude liter film shatter wave,1
52500,0.47222,have the savagery of combat and the specter of death,  savageri combat specter death,2
167526,0.5,of images and events,  imag event,2
5326,0.72222,builds to a crescendo that encompasses many more paths than we started with,  build crescendo encompass mani path start,3
118724,0.27778,dreary and,  dreari,1
59881,0.29167,violent and,  violent,1
178190,0.5,whistles,  whistl,2
144195,0.5,Boll and writer Robert Dean Klein,  boll writer robert dean klein,2
93286,0.5,specimen,  specimen,2
167282,0.44443999999999995,of a blind man directing a film,  blind man direct film,2
236197,0.65278,sustain the buoyant energy level of the film s city beginnings,  sustain buoyant energi level film citi begin,3
194492,0.33333,being the dreary midsection of the film,  dreari midsect film,1
39220,0.70833,to keep it interesting,  keep interest,3
187983,0.48611000000000004,The biggest problem I have  other than the very sluggish pace ,  biggest problem sluggish pace,2
174226,0.15278,the lousy dialogue,  lousi dialogu,0
6202,0.56944,endeavor,  endeavor,2
226185,0.33333,The action clichs just pile up ,  action clich pile,1
122827,0.77778,improved upon the first and taken it a step further  richer and deeper,  improv upon first taken step richer deeper,3
107078,0.875,It will guarantee to have you leaving the theater with a smile on your face ,  guarante leav theater smile face,4
95721,0.5,the first half,  first half,2
74637,0.55556,as any of the clients,  client,2
10830,0.63889,sufficient,  suffici,3
145620,0.27778,Goldmember has none of the visual wit of the previous pictures,  goldmemb none visual wit previou pictur,1
205953,0.48611000000000004,may not be  Last Tango in Paris  but,  may last tango pari,2
25081,0.8472200000000001,Dazzling,  dazzl,4
88633,0.5,of his, ,2
3388,0.5, caine ,  cain,2
212606,0.5,stories and,  stori,2
