phrase_id,label,phrase,tokstem,class
74002,0.5,and MaryLouise Parker,  marylouis parker,2
115844,0.5,believe any viewer  young or old ,  believ viewer young old,2
177585,0.43056000000000005,want a little more than this,  want littl,2
102866,0.77778, the documentary gives an especially poignant portrait of her friendship with the never flagging legal investigator David Presson ,  documentari give especi poignant portrait friendship never flag legal investig david presson,3
75117,0.5,back to Newcastle  the first half of Gangster No ,  back newcastl first half gangster,2
126192,0.20833000000000002,listless  witless,  listless witless,1
49265,0.88889,as cool and crowdpleasing as a documentary can get,  cool crowdpleas documentari get,4
58480,0.52778,the master of innuendo  It is not what you see,  master innuendo see,2
236969,0.44443999999999995,the hapless victims of the arrogant,  hapless victim arrog,2
80006,0.52778,first  Many of the effective horror elements,  first mani effect horror element,2
162902,0.23611,is forced and heavyhanded  and occasionally simply unpleasant,  forc heavyhand occasion simpli unpleas,1
230329,0.38889,does Steven Seagal come across these days ,  steven seagal come across day,1
86868,0.5,matinee brain,  matine brain,2
40402,0.5,yet compulsively,  yet compuls,2
143115,0.23611,A gimmick in search of a movie  how to get Carvey into as many silly costumes and deliver as many silly voices as possible  plot mechanics be damned,  gimmick search movi get carvey mani silli costum deliv mani silli voic possibl plot mechan damn,1
200957,0.5,he took to drink,  took drink,2
232780,0.63889,is that it avoids the obvious with humour and lightness,  avoid obviou humour light,3
180362,0.23611, Comedian runs out of steam after a half hour ,  comedian run steam half hour,1
182995,0.5,Calvin Jr  s Barbershop,  calvin Jr barbershop,2
213859,0.36111,that takes itself all too seriously,  take serious,1
234886,0.47222,passable enough for a shootout in the ok court,  passabl enough shootout ok court,2
68299,0.5,Python cartoons,  python cartoon,2
38123,0.58333,the derivative Nine Queens,  deriv nine queen,2
64054,0.45833,Arnie musclefest,  arni musclefest,2
92716,0.5,singularly cursory,  singularli cursori,2
521,0.51389,attempts,  attempt,2
156260,0.44443999999999995,chokes the energy right out,  choke energi right,2
186581,0.5,One of those staggeringly wellproduced  joylessly extravagant pictures that keep whooshing you from one visual marvel to the next  hastily  emptily,  one staggeringli wellproduc joylessli extravag pictur keep whoosh one visual marvel next hastili emptili,2
13895,0.5,Between, ,2
123726,0.73611,is a dark  gritty  sometimes funny little gem,  dark gritti sometim funni littl gem,3
42265,0.5,know it,  know,2
92745,0.5,sixties ,  sixti,2
144124,0.45833,Besides  real movie producers are nt this nice ,  besid real movi produc nt nice,2
79071,0.66667,enough cool,  enough cool,3
129835,0.52778,over the great blue globe,  great blue globe,2
141421,0.51389,s more comedy,  comedi,2
